Date;Number 1;Number 2;Number 3;Number 4;Number 5;Number 6
21/09/2022;4;9;19;23;41;45
17/09/2022;12;17;18;30;35;36
14/09/2022;1;3;5;30;38;42
10/09/2022;17;29;37;40;41;44
07/09/2022;1;19;21;28;32;45
03/09/2022;3;5;10;16;28;45
31/08/2022;7;9;18;20;29;39
27/08/2022;8;11;16;17;33;34
24/08/2022;19;27;28;38;42;44
20/08/2022;3;8;9;13;32;40
17/08/2022;3;17;18;19;23;26
13/08/2022;7;11;13;25;31;45
10/08/2022;12;16;26;27;33;35
06/08/2022;1;19;20;31;33;43
03/08/2022;9;11;26;28;41;42
30/07/2022;6;17;22;35;43;44
27/07/2022;5;14;23;29;32;34
23/07/2022;10;15;17;22;33;41
20/07/2022;1;6;19;22;41;43
16/07/2022;3;11;35;36;43;44
13/07/2022;4;21;22;31;38;44
09/07/2022;10;12;18;22;35;37
06/07/2022;13;19;38;40;43;45
02/07/2022;2;15;30;33;35;38
29/06/2022;8;12;13;15;20;39
25/06/2022;17;24;31;37;42;45
22/06/2022;1;6;9;18;22;28
18/06/2022;7;10;12;19;21;23
15/06/2022;4;7;10;16;24;27
11/06/2022;12;15;24;28;34;41
08/06/2022;6;10;11;16;30;31
04/06/2022;1;3;6;16;35;44
01/06/2022;2;8;18;20;40;44
28/05/2022;1;4;29;31;39;45
25/05/2022;3;6;24;28;36;39
21/05/2022;9;10;23;34;39;40
18/05/2022;6;8;13;14;30;39
14/05/2022;1;12;27;41;42;44
11/05/2022;10;12;25;28;37;43
07/05/2022;13;21;24;27;37;39
04/05/2022;17;20;22;27;31;38
30/04/2022;3;8;21;42;43;44
27/04/2022;5;20;25;29;35;39
23/04/2022;19;20;25;29;34;35
20/04/2022;1;12;20;21;32;45
16/04/2022;10;22;25;40;43;45
13/04/2022;3;7;14;32;37;39
09/04/2022;8;11;30;32;36;42
06/04/2022;4;14;38;40;43;44
02/04/2022;1;3;9;35;38;39
30/03/2022;8;11;28;33;34;37
26/03/2022;9;17;19;29;32;34
23/03/2022;3;9;21;36;43;44
19/03/2022;2;5;7;17;33;35
16/03/2022;2;5;15;29;30;45
12/03/2022;24;28;34;40;42;44
09/03/2022;2;3;11;14;18;36
05/03/2022;6;18;35;38;41;44
02/03/2022;11;13;18;19;26;42
26/02/2022;2;4;19;24;25;44
23/02/2022;1;6;10;30;42;44
19/02/2022;6;15;18;30;39;41
16/02/2022;2;3;14;18;31;39
12/02/2022;2;3;19;30;37;40
09/02/2022;7;20;31;40;41;43
05/02/2022;1;10;17;33;43;45
02/02/2022;7;21;23;27;29;42
29/01/2022;2;7;19;31;37;39
26/01/2022;3;26;29;30;38;44
22/01/2022;1;26;32;35;40;44
19/01/2022;16;20;22;29;34;43
15/01/2022;1;3;4;19;36;42
12/01/2022;1;19;26;27;34;36
08/01/2022;6;11;31;39;43;44
05/01/2022;4;10;15;27;38;43
01/01/2022;13;19;26;30;32;40
29/12/2021;4;10;11;18;19;23
25/12/2021;4;9;10;18;26;45
22/12/2021;8;19;22;25;26;36
18/12/2021;5;27;35;37;43;44
15/12/2021;1;24;27;31;34;44
11/12/2021;1;10;24;29;37;38
08/12/2021;13;18;33;38;40;44
04/12/2021;1;5;6;10;18;45
01/12/2021;11;13;18;24;40;42
27/11/2021;1;7;15;23;26;34
24/11/2021;3;9;14;20;27;40
20/11/2021;7;14;34;35;42;44
17/11/2021;6;13;20;28;34;40
13/11/2021;5;15;19;20;22;27
10/11/2021;11;12;23;28;39;44
06/11/2021;8;9;14;34;36;44
03/11/2021;2;6;13;14;28;38
30/10/2021;17;20;24;30;35;37
27/10/2021;8;10;34;42;43;44
23/10/2021;6;9;16;18;26;35
20/10/2021;6;25;33;34;37;45
16/10/2021;6;7;19;29;39;40
13/10/2021;13;18;20;26;35;38
09/10/2021;2;5;9;17;22;43
06/10/2021;26;30;35;37;42;43
02/10/2021;1;9;14;20;25;29
29/09/2021;11;21;30;35;39;42
25/09/2021;11;13;23;25;27;45
22/09/2021;2;16;18;22;23;31
18/09/2021;5;8;16;18;25;44
15/09/2021;1;7;8;25;37;41
11/09/2021;4;13;28;29;32;34
08/09/2021;5;14;16;18;24;44
04/09/2021;2;7;22;25;28;33
01/09/2021;2;8;14;17;30;33
28/08/2021;12;13;15;19;35;37
25/08/2021;1;5;10;12;22;28
21/08/2021;8;22;23;24;38;41
18/08/2021;7;24;33;37;43;44
14/08/2021;5;10;22;24;25;27
11/08/2021;8;20;31;32;38;40
07/08/2021;6;29;32;35;36;38
04/08/2021;5;8;22;25;28;43
31/07/2021;3;6;9;20;25;29
28/07/2021;5;20;24;30;39;44
24/07/2021;3;7;9;11;19;25
21/07/2021;1;6;10;11;30;45
17/07/2021;12;14;20;28;30;38
14/07/2021;7;9;11;24;30;45
10/07/2021;4;8;19;28;40;44
07/07/2021;2;3;5;6;12;26
03/07/2021;6;9;17;18;30;31
30/06/2021;7;12;14;34;36;40
26/06/2021;7;12;27;38;42;43
23/06/2021;10;11;12;20;25;45
19/06/2021;1;7;18;33;35;41
16/06/2021;4;14;15;25;28;36
12/06/2021;8;23;24;28;37;38
09/06/2021;12;15;26;29;36;41
05/06/2021;1;5;6;9;15;41
02/06/2021;3;13;38;42;43;44
29/05/2021;6;11;23;26;33;44
26/05/2021;3;4;17;34;38;45
22/05/2021;3;4;11;16;20;39
19/05/2021;13;14;27;30;34;36
15/05/2021;6;16;19;27;29;35
12/05/2021;7;27;33;34;39;44
08/05/2021;3;11;12;33;40;44
05/05/2021;3;8;14;18;22;41
01/05/2021;2;12;16;26;35;36
28/04/2021;20;21;23;25;27;41
24/04/2021;10;11;17;27;30;37
21/04/2021;12;15;20;32;36;43
17/04/2021;3;4;11;12;15;44
14/04/2021;4;10;11;23;40;41
10/04/2021;2;7;23;28;40;45
07/04/2021;5;7;14;19;36;40
03/04/2021;16;21;24;27;29;40
31/03/2021;4;11;18;19;33;45
27/03/2021;6;9;29;38;39;41
24/03/2021;3;11;12;13;20;26
20/03/2021;4;8;26;27;39;42
17/03/2021;16;19;31;33;36;41
13/03/2021;1;11;16;33;36;45
10/03/2021;4;10;17;20;23;35
06/03/2021;7;8;20;26;27;45
03/03/2021;5;8;19;28;37;43
27/02/2021;11;14;31;33;42;43
24/02/2021;7;19;21;22;26;35
20/02/2021;2;6;9;18;26;39
17/02/2021;2;8;27;29;36;40
13/02/2021;7;8;20;24;38;41
10/02/2021;2;17;23;29;34;42
06/02/2021;2;10;23;27;32;40
03/02/2021;8;23;27;30;41;45
30/01/2021;2;11;16;19;23;24
27/01/2021;8;12;16;24;38;44
23/01/2021;4;7;14;16;18;40
20/01/2021;5;19;22;31;33;41
16/01/2021;10;18;23;26;40;42
13/01/2021;19;20;25;34;38;42
09/01/2021;1;3;12;18;25;32
06/01/2021;1;10;12;15;27;35
02/01/2021;1;9;13;15;28;39
30/12/2020;8;27;29;32;34;42
26/12/2020;6;9;10;17;29;42
23/12/2020;21;27;33;34;39;41
19/12/2020;1;31;34;39;42;44
16/12/2020;4;6;20;26;28;42
12/12/2020;4;7;17;27;36;41
09/12/2020;8;16;19;20;39;44
05/12/2020;10;14;20;22;35;38
02/12/2020;9;22;33;35;37;45
28/11/2020;17;32;36;37;38;41
25/11/2020;3;12;18;28;32;36
21/11/2020;4;8;10;32;41;44
18/11/2020;2;16;24;25;27;38
14/11/2020;1;6;17;19;20;43
11/11/2020;1;11;14;31;32;37
07/11/2020;11;15;29;36;40;42
04/11/2020;4;8;9;15;20;35
31/10/2020;11;12;21;23;24;43
28/10/2020;18;22;25;28;43;45
24/10/2020;20;21;23;24;27;35
21/10/2020;3;27;29;32;35;44
17/10/2020;1;4;7;33;34;45
14/10/2020;3;10;21;32;33;41
10/10/2020;1;7;8;9;20;24
07/10/2020;2;13;14;23;32;43
03/10/2020;1;9;12;15;25;26
30/09/2020;2;13;16;19;32;45
26/09/2020;2;9;22;29;31;34
23/09/2020;17;23;27;29;37;39
19/09/2020;10;13;14;16;17;19
16/09/2020;14;23;27;28;35;38
12/09/2020;4;14;22;28;33;43
09/09/2020;8;13;16;17;24;44
05/09/2020;3;4;22;28;31;41
02/09/2020;4;5;10;23;35;40
29/08/2020;2;4;20;32;35;44
26/08/2020;1;2;10;33;36;44
22/08/2020;3;4;6;9;23;43
19/08/2020;13;26;29;31;37;38
15/08/2020;3;8;35;38;44;45
12/08/2020;3;5;12;16;29;43
08/08/2020;5;10;11;15;23;25
05/08/2020;11;12;15;21;34;40
01/08/2020;10;15;17;35;36;43
29/07/2020;19;25;32;34;38;45
25/07/2020;1;6;15;23;29;35
22/07/2020;14;15;30;36;39;42
18/07/2020;2;9;18;26;34;40
15/07/2020;4;5;20;33;43;45
11/07/2020;4;15;16;19;35;42
08/07/2020;11;14;28;36;38;41
04/07/2020;4;6;14;16;30;35
01/07/2020;8;9;28;31;40;44
27/06/2020;4;8;24;36;41;45
24/06/2020;16;20;27;31;40;44
20/06/2020;18;19;28;29;39;44
17/06/2020;3;15;16;23;25;45
13/06/2020;13;24;30;31;36;39
10/06/2020;9;16;24;25;27;36
06/06/2020;10;14;21;24;42;44
03/06/2020;5;8;9;17;19;35
30/05/2020;1;19;27;29;42;43
27/05/2020;9;20;27;38;39;40
23/05/2020;1;19;33;34;38;39
20/05/2020;7;16;17;18;22;28
16/05/2020;12;14;16;18;21;24
13/05/2020;8;15;19;24;40;44
09/05/2020;7;14;25;32;34;36
06/05/2020;12;20;29;33;38;43
02/05/2020;6;13;14;30;39;41
29/04/2020;1;14;21;30;41;44
25/04/2020;3;8;13;16;38;42
22/04/2020;9;21;29;32;40;43
18/04/2020;19;24;25;35;38;44
15/04/2020;12;21;29;33;37;45
11/04/2020;6;10;11;13;29;31
08/04/2020;4;5;8;19;26;31
04/04/2020;4;10;16;23;28;41
01/04/2020;18;21;29;39;41;45
28/03/2020;15;21;28;31;32;38
25/03/2020;7;28;30;34;36;45
21/03/2020;5;8;16;28;31;42
18/03/2020;7;11;18;25;33;43
14/03/2020;5;11;16;17;28;31
11/03/2020;5;9;11;31;35;42
07/03/2020;1;8;18;26;40;41
04/03/2020;2;20;33;34;36;42
29/02/2020;11;15;18;22;28;40
26/02/2020;5;8;16;18;23;42
22/02/2020;11;21;23;29;43;44
19/02/2020;3;5;15;16;22;33
15/02/2020;1;2;11;14;37;39
12/02/2020;10;15;20;27;34;45
08/02/2020;1;4;22;40;42;45
05/02/2020;1;9;21;22;29;44
01/02/2020;9;11;23;25;30;35
29/01/2020;6;20;21;29;31;34
25/01/2020;9;10;11;17;30;38
22/01/2020;4;8;10;18;20;28
18/01/2020;4;17;22;39;43;45
15/01/2020;12;21;24;32;34;35
11/01/2020;13;20;21;34;36;40
08/01/2020;3;4;6;14;24;25
04/01/2020;14;15;23;25;32;36
01/01/2020;16;19;22;29;32;34
28/12/2019;2;4;13;14;24;43
25/12/2019;8;18;31;34;36;38
21/12/2019;5;11;12;16;22;29
18/12/2019;10;18;23;26;27;36
14/12/2019;4;9;20;32;44;45
11/12/2019;3;6;8;19;25;42
07/12/2019;4;10;34;39;41;44
04/12/2019;18;25;27;34;41;42
30/11/2019;9;21;28;30;34;45
27/11/2019;4;14;17;28;29;43
23/11/2019;3;4;9;29;31;41
20/11/2019;12;28;31;35;38;41
16/11/2019;2;10;21;22;27;40
13/11/2019;6;11;21;23;29;31
09/11/2019;1;12;26;30;37;38
06/11/2019;1;7;12;18;26;42
02/11/2019;5;22;26;27;34;39
30/10/2019;8;19;32;33;35;40
26/10/2019;1;6;11;15;28;45
23/10/2019;10;14;24;26;28;31
19/10/2019;3;13;24;30;33;34
16/10/2019;2;6;13;34;38;45
12/10/2019;6;8;9;14;40;44
09/10/2019;11;13;19;24;34;41
05/10/2019;2;14;21;30;38;40
02/10/2019;12;17;30;31;37;42
28/09/2019;3;7;17;22;29;38
25/09/2019;6;10;18;27;31;39
21/09/2019;3;19;20;24;33;44
18/09/2019;9;11;13;20;31;35
14/09/2019;13;23;28;32;40;41
11/09/2019;11;12;18;24;29;34
07/09/2019;2;18;20;26;27;39
04/09/2019;11;15;17;35;36;44
31/08/2019;3;8;22;23;26;34
28/08/2019;4;5;6;14;16;33
24/08/2019;6;8;11;19;24;32
21/08/2019;4;5;19;20;25;34
17/08/2019;7;12;16;19;26;41
14/08/2019;11;14;21;34;36;40
10/08/2019;1;11;16;18;26;43
07/08/2019;18;19;23;34;35;41
03/08/2019;4;15;24;25;27;33
31/07/2019;8;16;17;24;25;26
27/07/2019;10;28;35;41;42;43
24/07/2019;10;11;18;31;44;45
20/07/2019;2;8;17;29;33;35
17/07/2019;8;18;22;35;37;45
13/07/2019;1;5;15;18;25;33
10/07/2019;5;7;17;18;20;31
06/07/2019;7;15;23;27;30;37
03/07/2019;1;2;15;19;23;24
29/06/2019;16;18;25;28;30;31
26/06/2019;1;20;22;38;39;40
22/06/2019;2;6;8;14;30;38
19/06/2019;5;14;19;24;40;45
15/06/2019;10;12;17;22;28;34
12/06/2019;2;6;10;17;26;37
08/06/2019;2;7;30;37;39;40
05/06/2019;7;11;12;27;28;39
01/06/2019;3;10;27;32;35;44
29/05/2019;2;8;16;24;30;45
25/05/2019;19;22;24;27;36;37
22/05/2019;8;19;25;27;30;43
18/05/2019;3;8;10;27;33;41
15/05/2019;20;26;29;31;40;44
11/05/2019;1;14;19;21;25;31
08/05/2019;9;10;14;15;36;42
04/05/2019;3;5;19;25;35;40
01/05/2019;1;10;31;35;38;43
27/04/2019;16;20;34;35;43;44
24/04/2019;1;5;12;27;38;43
20/04/2019;16;31;32;35;39;42
17/04/2019;4;5;19;27;35;44
13/04/2019;3;16;21;25;27;35
10/04/2019;12;29;32;33;37;43
06/04/2019;5;8;10;17;34;44
03/04/2019;5;7;12;21;26;35
30/03/2019;4;12;22;29;41;43
27/03/2019;6;12;27;32;33;45
23/03/2019;14;17;23;26;33;42
20/03/2019;17;22;36;39;41;42
16/03/2019;1;16;20;32;36;40
13/03/2019;9;15;21;23;29;34
09/03/2019;7;10;12;17;24;39
06/03/2019;29;30;34;40;41;42
02/03/2019;5;11;20;25;34;43
27/02/2019;20;31;33;35;36;39
23/02/2019;3;25;28;32;40;43
20/02/2019;4;10;16;22;28;36
16/02/2019;2;6;22;32;39;40
13/02/2019;4;11;27;29;33;35
09/02/2019;11;12;15;22;42;43
06/02/2019;9;15;19;20;25;26
02/02/2019;3;8;10;39;40;43
30/01/2019;4;12;15;19;23;34
26/01/2019;7;8;17;26;30;42
23/01/2019;3;7;13;18;29;38
19/01/2019;13;15;16;24;25;33
16/01/2019;4;16;33;37;42;44
12/01/2019;24;29;33;42;43;45
09/01/2019;3;7;12;19;31;32
05/01/2019;9;15;22;24;38;44
02/01/2019;7;15;21;28;36;38
29/12/2018;4;6;12;13;21;41
26/12/2018;14;23;29;42;43;44
22/12/2018;5;18;22;27;31;34
19/12/2018;1;12;16;25;26;42
15/12/2018;9;19;20;25;38;42
12/12/2018;3;5;27;30;31;43
08/12/2018;1;2;13;19;37;42
05/12/2018;2;13;19;37;38;40
01/12/2018;3;12;13;14;28;44
28/11/2018;2;3;5;9;18;19
24/11/2018;24;26;34;42;43;45
21/11/2018;4;6;25;28;34;45
17/11/2018;5;6;9;17;29;34
14/11/2018;5;27;29;30;38;43
10/11/2018;5;16;19;30;42;43
07/11/2018;5;12;13;14;29;41
03/11/2018;1;18;23;30;32;41
31/10/2018;6;7;10;17;18;39
27/10/2018;5;7;10;24;37;45
24/10/2018;8;10;12;18;20;29
20/10/2018;4;17;19;23;27;45
17/10/2018;3;7;12;31;34;37
13/10/2018;5;11;25;28;30;38
10/10/2018;7;9;18;23;24;33
06/10/2018;14;22;25;40;41;42
03/10/2018;2;11;12;20;29;44
29/09/2018;8;27;28;35;41;45
26/09/2018;14;19;28;32;42;43
22/09/2018;3;5;12;19;28;34
19/09/2018;3;5;20;22;28;45
15/09/2018;9;12;19;21;33;42
12/09/2018;1;12;15;16;24;42
08/09/2018;2;7;14;26;32;43
05/09/2018;7;13;14;17;20;38
01/09/2018;9;28;29;32;38;45
29/08/2018;7;22;24;31;39;43
25/08/2018;5;8;14;21;24;28
22/08/2018;2;19;21;36;39;40
18/08/2018;7;17;31;32;43;44
15/08/2018;15;19;32;35;39;44
11/08/2018;22;33;36;39;42;44
08/08/2018;4;7;11;17;26;33
04/08/2018;8;10;26;29;33;41
01/08/2018;16;18;19;36;37;42
28/07/2018;7;12;20;28;35;42
25/07/2018;16;24;31;34;36;45
21/07/2018;8;9;32;34;37;43
18/07/2018;1;29;30;39;40;44
14/07/2018;21;22;34;43;44;45
11/07/2018;4;11;12;14;40;44
07/07/2018;4;17;18;21;25;31
04/07/2018;16;33;38;39;42;44
30/06/2018;8;10;16;24;36;39
27/06/2018;7;10;14;16;23;26
23/06/2018;5;12;29;37;41;45
20/06/2018;19;20;30;34;35;37
16/06/2018;3;7;10;11;12;38
13/06/2018;1;20;27;28;29;34
09/06/2018;15;22;23;27;40;43
06/06/2018;9;13;19;33;38;43
02/06/2018;6;19;20;24;44;45
30/05/2018;3;8;15;28;33;36
26/05/2018;5;10;12;28;31;41
23/05/2018;5;11;13;18;31;41
19/05/2018;7;13;14;19;25;45
16/05/2018;6;8;23;35;36;42
12/05/2018;9;13;16;17;25;37
09/05/2018;12;14;17;22;24;38
05/05/2018;4;7;12;23;27;45
02/05/2018;3;5;34;35;40;41
28/04/2018;17;18;25;33;34;38
25/04/2018;4;19;25;33;41;43
21/04/2018;15;17;26;37;41;43
18/04/2018;2;6;16;31;36;42
14/04/2018;10;12;14;28;32;45
11/04/2018;1;6;8;12;34;37
07/04/2018;4;11;15;29;30;38
04/04/2018;4;5;11;32;33;41
31/03/2018;11;13;18;25;28;44
28/03/2018;3;16;17;19;32;41
24/03/2018;16;24;37;38;39;41
21/03/2018;9;16;24;32;39;42
17/03/2018;1;2;3;22;34;37
14/03/2018;1;9;21;26;29;44
10/03/2018;14;15;20;31;35;39
07/03/2018;3;4;7;15;32;42
03/03/2018;19;22;35;39;40;44
28/02/2018;11;17;24;28;35;43
24/02/2018;9;22;26;30;32;42
21/02/2018;1;33;39;40;43;45
17/02/2018;1;12;26;32;35;36
14/02/2018;2;7;8;16;30;43
10/02/2018;1;2;10;12;37;45
07/02/2018;3;15;30;33;34;37
03/02/2018;4;7;13;27;28;29
31/01/2018;5;12;18;19;29;44
27/01/2018;4;12;15;25;36;38
24/01/2018;9;15;18;27;32;39
20/01/2018;1;10;18;19;27;40
17/01/2018;4;6;13;14;35;37
13/01/2018;20;24;26;27;28;37
10/01/2018;3;16;22;25;31;39
06/01/2018;11;16;21;40;41;43
03/01/2018;33;34;36;38;41;42
30/12/2017;3;10;13;28;35;45
27/12/2017;5;6;25;28;30;43
23/12/2017;15;19;21;23;35;45
20/12/2017;4;8;9;17;24;40
16/12/2017;9;20;21;28;31;34
13/12/2017;3;5;17;19;40;41
09/12/2017;5;10;13;21;27;39
06/12/2017;19;21;26;38;39;43
02/12/2017;8;9;10;14;16;39
29/11/2017;7;11;14;21;31;36
25/11/2017;5;8;21;32;38;42
22/11/2017;1;11;15;28;34;44
18/11/2017;4;8;9;34;35;44
15/11/2017;3;16;24;26;31;38
11/11/2017;7;12;15;18;41;45
08/11/2017;6;9;14;19;43;45
04/11/2017;3;4;18;20;27;34
01/11/2017;1;6;15;16;25;33
28/10/2017;3;18;21;33;34;41
25/10/2017;7;14;21;27;31;43
21/10/2017;4;13;21;22;41;42
18/10/2017;2;10;26;29;34;35
14/10/2017;2;11;12;15;18;35
11/10/2017;14;16;19;23;26;28
07/10/2017;7;29;32;42;44;45
04/10/2017;2;14;15;21;35;36
30/09/2017;1;2;18;21;24;38
27/09/2017;4;7;8;32;33;43
23/09/2017;20;21;22;27;34;45
20/09/2017;15;18;20;23;36;43
16/09/2017;2;3;10;17;21;36
13/09/2017;1;6;14;17;42;43
09/09/2017;4;11;18;25;33;43
06/09/2017;7;13;18;27;34;41
02/09/2017;2;6;10;21;32;33
30/08/2017;6;8;11;13;28;40
26/08/2017;3;12;27;39;41;42
23/08/2017;5;28;33;37;39;45
19/08/2017;6;13;18;21;27;45
16/08/2017;1;2;23;40;42;45
12/08/2017;8;10;12;13;21;36
09/08/2017;10;18;22;25;29;40
05/08/2017;4;6;15;16;25;40
02/08/2017;2;16;22;26;27;29
29/07/2017;4;18;30;31;32;38
26/07/2017;15;23;25;34;39;43
22/07/2017;6;9;16;23;29;31
19/07/2017;16;17;21;34;39;43
15/07/2017;5;8;12;13;22;24
12/07/2017;19;20;22;24;33;41
08/07/2017;1;3;22;33;37;38
05/07/2017;9;12;13;16;18;40
01/07/2017;3;6;7;29;33;44
28/06/2017;9;20;21;32;36;40
24/06/2017;15;18;24;25;40;43
21/06/2017;2;3;16;22;25;38
17/06/2017;7;11;23;29;34;37
14/06/2017;3;4;10;28;39;42
10/06/2017;16;21;24;37;41;42
07/06/2017;4;18;25;31;36;44
03/06/2017;1;2;5;6;18;35
31/05/2017;2;4;21;38;41;44
27/05/2017;4;9;18;36;40;43
24/05/2017;21;24;27;29;30;33
20/05/2017;4;11;16;18;20;41
17/05/2017;6;8;16;20;28;38
13/05/2017;1;26;27;35;37;44
10/05/2017;4;16;30;35;37;40
06/05/2017;1;2;24;41;43;44
03/05/2017;2;19;27;28;34;41
29/04/2017;3;5;11;33;40;44
26/04/2017;1;6;13;17;27;43
22/04/2017;2;16;17;26;34;40
19/04/2017;6;16;23;24;33;40
15/04/2017;7;12;17;19;22;38
12/04/2017;20;21;23;26;32;40
08/04/2017;2;7;14;19;34;37
05/04/2017;1;5;26;33;38;39
01/04/2017;6;12;13;21;33;45
29/03/2017;6;13;24;32;36;45
25/03/2017;10;12;20;24;38;43
22/03/2017;13;14;17;35;36;42
18/03/2017;4;19;21;26;28;30
15/03/2017;3;6;8;18;28;29
11/03/2017;2;16;17;24;39;42
08/03/2017;5;17;32;37;43;44
04/03/2017;4;10;25;33;38;41
01/03/2017;5;9;14;22;38;45
25/02/2017;2;7;11;34;41;45
22/02/2017;14;25;31;36;41;44
18/02/2017;3;27;28;33;40;41
15/02/2017;8;12;20;33;36;39
11/02/2017;5;7;12;36;39;40
08/02/2017;3;11;12;13;34;42
04/02/2017;1;4;5;7;8;32
01/02/2017;6;14;22;28;38;40
28/01/2017;7;15;19;25;39;44
25/01/2017;10;26;27;36;39;43
21/01/2017;7;12;17;19;24;39
18/01/2017;8;14;15;29;30;35
14/01/2017;18;21;26;39;42;43
11/01/2017;10;19;21;22;34;42
07/01/2017;3;4;14;20;24;37
04/01/2017;13;16;20;24;27;37
31/12/2016;1;4;7;13;35;40
28/12/2016;1;11;15;16;24;25
24/12/2016;5;11;18;20;36;37
21/12/2016;1;15;18;31;38;45
17/12/2016;4;10;26;32;34;43
14/12/2016;2;16;25;32;33;36
10/12/2016;5;8;14;20;22;36
07/12/2016;21;25;27;33;36;41
03/12/2016;5;12;17;22;36;44
30/11/2016;2;4;16;20;34;44
26/11/2016;4;26;27;29;36;38
23/11/2016;15;18;23;27;30;45
19/11/2016;1;17;20;21;24;44
16/11/2016;6;11;12;36;41;45
12/11/2016;5;16;30;31;40;42
09/11/2016;1;6;11;28;30;33
05/11/2016;9;12;14;16;41;45
02/11/2016;12;17;18;21;36;43
29/10/2016;3;17;29;38;39;43
26/10/2016;1;3;9;27;30;45
22/10/2016;1;4;12;16;18;22
19/10/2016;13;19;27;31;37;45
15/10/2016;13;16;32;34;43;45
12/10/2016;3;8;19;21;39;40
08/10/2016;19;23;27;29;41;43
05/10/2016;7;8;19;21;30;37
01/10/2016;3;7;8;12;33;44
28/09/2016;17;18;29;34;41;42
24/09/2016;11;35;36;37;41;43
21/09/2016;14;18;35;41;42;44
17/09/2016;11;15;17;29;34;38
14/09/2016;6;7;14;34;40;43
10/09/2016;5;12;35;41;42;43
07/09/2016;15;19;21;29;37;38
03/09/2016;6;8;21;26;32;36
31/08/2016;3;28;31;35;37;45
27/08/2016;13;17;18;24;32;36
24/08/2016;6;12;16;17;29;33
20/08/2016;3;13;14;15;20;44
17/08/2016;12;14;15;18;41;44
13/08/2016;2;4;5;13;14;17
10/08/2016;3;29;33;37;44;45
06/08/2016;3;17;20;22;35;38
03/08/2016;12;14;23;24;28;36
30/07/2016;8;10;11;24;27;35
27/07/2016;8;13;14;35;36;38
23/07/2016;8;27;33;38;40;45
20/07/2016;21;28;29;40;42;43
16/07/2016;6;7;9;18;39;40
13/07/2016;2;3;10;19;36;37
09/07/2016;5;6;10;12;23;28
06/07/2016;3;7;25;29;36;38
02/07/2016;3;5;24;32;38;43
29/06/2016;3;18;26;30;34;41
25/06/2016;8;15;21;25;27;42
22/06/2016;10;15;18;26;30;33
18/06/2016;18;24;26;29;36;39
15/06/2016;5;21;27;34;35;45
11/06/2016;11;15;19;25;30;35
08/06/2016;7;13;18;21;29;35
04/06/2016;11;21;25;26;30;39
01/06/2016;5;9;16;23;37;43
28/05/2016;9;10;12;16;17;23
25/05/2016;9;12;27;29;35;40
21/05/2016;4;19;25;28;37;44
18/05/2016;3;10;14;20;32;39
14/05/2016;1;9;19;21;28;29
11/05/2016;7;17;21;24;31;37
07/05/2016;4;13;19;20;22;26
04/05/2016;15;16;22;38;39;44
30/04/2016;14;25;27;38;43;44
27/04/2016;1;5;20;25;38;42
23/04/2016;2;4;9;30;32;40
20/04/2016;4;5;10;15;43;45
16/04/2016;4;5;14;16;25;32
13/04/2016;6;18;29;36;38;43
09/04/2016;11;13;21;22;25;26
06/04/2016;1;11;12;15;25;28
02/04/2016;10;23;31;33;37;41
